Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImplTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx; modelFactory
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,AssetDetails404Servlet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,AssetDetailsImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,AssetDetailsResolverImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,MessagesImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: log; NODE_NAME; HTML_EXTENSION; rootResourceTypes; SCENE7_FEATURE_FLAG; DEFAULT_VIEW_SELECTOR; PN_VIEW_SELECTOR; PN_LICENSE_ENABLED; PN_LICENSE_AGREEMENT_VIEW_PATH; PN_DOWNLOAD_ENABLED; PN_DOWNLOAD_VIEW_PATH; PN_DOWNLOADS_VIEW_PATH; PN_CART_ENABLED; PN_CART_VIEW_PATH; PN_SHARE_ENABLED; PN_SHARE_VIEW_PATH; PN_DEFAULT_ASSET_DETAILS_PATH; PN_ASSET_DETAILS_SELECTOR; PN_PLACEHOLDER_ASSET_PATH; PN_ASSET_REFERENCE_BY_ID; DEFAULT_PLACEHOLDER_ASSET_PATH; request; modelFactory; requireAem; shareService; requestResource; currentPage; properties; viewSelector; rootPath; value
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl.ActionEnablements,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl.ActionEnablements,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ServletHelperImplTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,OakIndexResolverTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,RequireAemImplTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ExpressionEvaluatorImplTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx; modelFactory
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImplTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx
