Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,MessagesImpl,isMessageEmpty,Long Statement,The length of the statement "return StringUtils.isBlank(properties.get(PN_MESSAGE_STYLE`String.class)) || StringUtils.isBlank(properties.get(PN_MESSAGE_TEXT`String.class)) || StringUtils.isBlank(properties.get(PN_MESSAGE_EVENT_ID`String.class));" is 216.,96
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,getPlaceholderAsset,Long Identifier,The length of the field DEFAULT_PLACEHOLDER_ASSET_PATH is 30.,162
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,getDownloadActionUrl,Long Statement,The length of the statement "final String path=properties.get(PN_DOWNLOAD_VIEW_PATH`rootPath + "/actions/download") + "." + viewSelector+ HTML_EXTENSION;" is 124.,174
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,getDownloadsActionUrl,Long Statement,The length of the statement "final String path=properties.get(PN_DOWNLOADS_VIEW_PATH`rootPath + "/actions/downloads") + "." + viewSelector+ HTML_EXTENSION;" is 126.,180
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,getLicenseActionUrl,Long Identifier,The length of the field PN_LICENSE_AGREEMENT_VIEW_PATH is 30.,186
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,getLicenseActionUrl,Long Statement,The length of the statement "final String path=properties.get(PN_LICENSE_AGREEMENT_VIEW_PATH`rootPath + "/actions/license") + "." + viewSelector+ HTML_EXTENSION;" is 132.,186
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,isShareEnabled,Long Statement,The length of the statement "return shareService != null && compareEnablementValue(properties`PN_SHARE_ENABLED`ActionEnablements.ALWAYS) && getShareActionUrl() != null;" is 139.,204
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,isDownloadEnabled,Long Statement,The length of the statement "return compareEnablementValue(properties`PN_DOWNLOAD_ENABLED`ActionEnablements.ALWAYS) && getDownloadActionUrl() != null;" is 121.,211
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,isDownloadEnabledCart,Long Statement,The length of the statement "return compareEnablementValue(properties`PN_DOWNLOAD_ENABLED`ActionEnablements.ALWAYS`ActionEnablements.CART) && getDownloadActionUrl() != null;" is 144.,217
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,isShareEnabledCart,Long Statement,The length of the statement "return compareEnablementValue(properties`PN_SHARE_ENABLED`ActionEnablements.ALWAYS`ActionEnablements.CART) && getShareActionUrl() != null;" is 138.,228
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,isContextHubEnabled,Long Statement,The length of the statement "final HierarchyNodeInheritanceValueMap properties=new HierarchyNodeInheritanceValueMap(currentPage.getContentResource());" is 121.,287
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,getRootPath,Long Statement,The length of the statement "log.warn("Could not find a valid Asset Share Commons root page for [ {} ]. Check to ensure a parent page sling:resourceSuperTypes one of [ {} ]"`currentPage.getPath()`StringUtils.join(rootResourceTypes`"`"));" is 208.,313
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,OakIndexResolverTest,resolveRankingOakIndex,Long Statement,The length of the statement "assertEquals("damAssetLucene-2-custom-1"`OakIndexResolver.resolveRankingOakIndex(ctx.resourceResolver()`"damAssetLucene"));" is 123.,21
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ExpressionEvaluatorImplTest,evaluateProperties,Long Statement,The length of the statement "final String expected="https://foo.com/serve/metadata-property-value/metadata-property-value/jcr-content-property-value/bad-property/file.ext";" is 143.,41
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ExpressionEvaluatorImplTest,evaluateProperties,Long Statement,The length of the statement "AssetModel assetModel=modelFactory.getModelFromWrappedRequest(ctx.request()`ctx.resourceResolver().getResource("/content/dam/test.png")`AssetModel.class);" is 154.,41
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ExpressionEvaluatorImplTest,evaluateProperties,Long Statement,The length of the statement "final String actual=expressionEvaluator.evaluateProperties("https://foo.com/serve/${prop@metadataProperty}/${prop@metadataProperty}/${prop@../jcrContentProperty}/bad-property${prop@badProperty}/file.ext"`assetModel);" is 216.,41
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImplTest,setUp,Long Statement,The length of the statement "ctx.load().binaryFile(getClass().getResourceAsStream("JsonResolverImpl__file--damAsset.json")`"/content/dam/test-dam-asset.json/jcr:content/renditions/original");" is 162.,37
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImplTest,setUp,Long Statement,The length of the statement "ctx.load().binaryFile(getClass().getResourceAsStream("JsonResolverImpl__file--ntFile.json")`"/content/test-nt-file.json");" is 122.,37
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImplTest,setUp,Long Statement,The length of the statement "ctx.load().binaryFile(getClass().getResourceAsStream("JsonResolverImpl__file--internalInclude.json")`"/content/test-internal-include");" is 135.,37
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImplTest,resolveExternalInclude,Long Statement,The length of the statement "JsonElement actual=jsonResolver.resolveJson(ctx.request()`ctx.response()`"https://opensource.adobe.com/asset-share-commons/tests/example.json");" is 144.,64
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,RequireAemImpl,activate,Long Statement,The length of the statement "log.info("Registering [ RequireAem.class ] as an OSGi Service with OSGi properties [ distribution = {}` serviceType = {} ] so it can be used to enable/disable other OSGi Components"`properties.get(PN_DISTRIBUTION)`properties.get(PN_SERVICE_TYPE));" is 247.,104
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImpl,resolveJson,Complex Conditional,The conditional expression resource != null && (resourceResolver.isResourceType(resource`NT_FILE) || resourceResolver.isResourceType(resource`NT_RESOURCE) || resourceResolver.isResourceType(resource`NT_OAK_RESOURCE)) is complex.,59
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImpl,resolveJson,Long Statement,The length of the statement "if (resource != null && (resourceResolver.isResourceType(resource`NT_FILE) || resourceResolver.isResourceType(resource`NT_RESOURCE) || resourceResolver.isResourceType(resource`NT_OAK_RESOURCE))) {" is 196.,59
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImpl,getJsonFromNtFile,Long Statement,The length of the statement "if (jcrContent != null && StringUtils.equalsIgnoreCase(jcrContent.getValueMap().get("jcr:mimeType"`String.class)`"application/json")) {" is 135.,94
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImpl,getJsonAsInternalRequest,Long Statement,The length of the statement "else if (wrappedResponse.getBufferedServletOutput().getWriteMethod() == BufferedServletOutput.ResponseWriteMethod.OUTPUTSTREAM) {" is 129.,113
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImpl,getJsonFromExternalUrl,Long Statement,The length of the statement "try (BufferedReader reader=new BufferedReader(new InputStreamReader(connection.getInputStream()`StandardCharsets.UTF_8))){" is 122.,145
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImpl,getJsonFromExternalUrl,Magic Number,The method contains a magic number: 5000,145
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImpl,getJsonFromExternalUrl,Magic Number,The method contains a magic number: 10000,145
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,EmailServiceImpl,getMailTemplate,Long Statement,The length of the statement "log.error("Unable to obtain an administrative resource resolver to get the Mail Template at [ " + templatePath + " ]"`e);" is 121.,273
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,OakIndexResolver,resolveRankingOakIndex,Long Statement,The length of the statement "StreamSupport.stream(oakIndexes.getChildren().spliterator()`false).filter(oakIndex -> VALUE_TYPE_LUCENE.equals(oakIndex.getValueMap().get(PN_TYPE`String.class))).forEach(oakIndex -> {" is 183.,28
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,OakIndexResolver,resolveRankingOakIndex,Long Statement,The length of the statement "log.warn("Unable to collect any versions for the provided Oak Index Root Name [ {} ]. This probably means there is a type-o in this parameter."`oakIndexRootName);" is 162.,28
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,OakIndexResolver,getOakIndexVersion,Magic Number,The method contains a magic number: 2,61
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,OakIndexResolver,getOakIndexVersion,Magic Number,The method contains a magic number: 4,61
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,DataSourceBuilderImpl,build,Long Statement,The length of the statement "fakeResourceList.add(new ValueMapResource(request.getResourceResolver()`new ResourceMetadata()`JcrConstants.NT_UNSTRUCTURED`vm));" is 129.,43
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,DataSourceBuilderImpl,handleNoneOption,Long Statement,The length of the statement "fakeResourceList.add(new ValueMapResource(request.getResourceResolver()`new ResourceMetadata()`JcrConstants.NT_UNSTRUCTURED`vm));" is 129.,69
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ExpressionEvaluatorImpl,evaluateAssetExpression,Long Statement,The length of the statement "expression=StringUtils.replace(expression`VAR_ASSET_NAME_NO_EXTENSION`StringUtils.substringBeforeLast(assetModel.getName()`"."));" is 129.,107
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtilTest,escape_WithDoubleEscaping,Long Statement,The length of the statement "Assert.assertEquals("/content/dam/test%20asset.png/_jcr_content"`UrlUtil.escape("/content/dam/test asset.png/jcr:content"`false));" is 130.,27
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtilTest,escape_WithDoubleEscaping,Long Statement,The length of the statement "Assert.assertEquals("/content/dam/test%20folder/ir%c4%81%2bpu%20p%c3%b6%20%26p%c3%aep%e2%98%83.jpeg/_jcr_content/test"`UrlUtil.escape("/content/dam/test folder/irā+pu pö &pîp☃.jpeg/jcr:content/test"`false));" is 207.,27
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtilTest,escape_WithNoDoubleEscaping,Long Statement,The length of the statement "Assert.assertEquals("/content/dam/test%20asset.png/_jcr_content"`UrlUtil.escape("/content/dam/test asset.png/jcr:content"));" is 124.,39
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtilTest,escape_WithNoDoubleEscaping,Long Statement,The length of the statement "Assert.assertEquals("/content/dam/test%20folder/ir%c4%81%2bpu%20p%c3%b6%20%26p%c3%aep%e2%98%83.jpeg/_jcr_content/test"`UrlUtil.escape("/content/dam/test folder/irā+pu pö &pîp☃.jpeg/jcr:content/test"));" is 201.,39
