Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImplTest,setUp,6,1,0,27,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImplTest,isContextHubEnabled_noContextHub,5,1,0,40,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImplTest,isContextHubEnabled_invalidContextHub,5,1,0,48,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImplTest,isContextHubEnabled_validContextHub,5,1,0,56,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,AssetDetails404Servlet,doGet,3,1,2,50,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,AssetDetails404Servlet,accepts,12,2,1,58,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,AssetDetailsImpl,getUrl,6,2,0,59,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,AssetDetailsImpl,getFullUrl,10,2,0,68,0,com.adobe.aem.commons.assetshare.configuration.impl.AssetDetailsImpl,com.adobe.aem.commons.assetshare.configuration.impl.AssetDetailsImpl
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,AssetDetailsResolverImpl,getUrl,13,4,2,54,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,AssetDetailsResolverImpl,getFullUrl,12,3,2,72,0,com.adobe.aem.commons.assetshare.configuration.impl.AssetDetailsResolverImpl,com.adobe.aem.commons.assetshare.configuration.impl.AssetDetailsResolverImpl
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,AssetDetailsResolverImpl,bindAssetDetailsSelector,6,2,2,86,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,AssetDetailsResolverImpl,unbindAssetDetailsSelector,6,2,2,93,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,MessagesImpl,getMessages,18,5,0,59,0,com.adobe.aem.commons.assetshare.configuration.impl.MessagesImpl,com.adobe.aem.commons.assetshare.configuration.impl.MessagesImpl
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,MessagesImpl,addToTracker,7,2,2,86,0,com.adobe.aem.commons.assetshare.configuration.impl.MessagesImpl,com.adobe.aem.commons.assetshare.configuration.impl.MessagesImpl
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,MessagesImpl,isMessageEmpty,3,1,1,96,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,MessagesImpl,isReady,3,1,0,102,0,com.adobe.aem.commons.assetshare.configuration.impl.MessagesImpl,com.adobe.aem.commons.assetshare.configuration.impl.MessagesImpl
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,MessagesImpl,getExportedType,3,1,0,107,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,init,12,2,0,121,0,com.adobe.aem.commons.assetshare.configuration.impl.ConfigImpl,com.adobe.aem.commons.assetshare.configuration.impl.ConfigImpl
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,getRequest,3,1,0,138,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,getResourceResolver,3,1,0,143,0,,
