Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ServletHelperImplTest,addSlingBindings,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,RequireAemImplTest,referenceFilter_CloudReady_True_Satisfied,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,RequireAemImplTest,referenceFilter_CloudReady_False_Satisfied,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImplTest,resolveDamAsset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImplTest,resolveExternalInclude,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtilTest,escape_WithDoubleEscaping,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtilTest,escape_WithNoDoubleEscaping,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtilTest,isEscaped,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtilTest,escape_WithHost,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtilTest,isEscaped_WithHost,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtilTest,escape_WithQueryParams,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.datasources,ComponentUpdatersDataSourceTest,doGet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl,AssetKitHelperImplTest,getAsset_True,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl,AssetKitHelperImplTest,isAssetFolder,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl,AssetKitHelperImplTest,isAssetCollection,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl,AssetKitHelperImplTest,isAsset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.componentupdaters,PageMetadataComponentUpdaterImplTest,updateComponent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.componentupdaters,AssetKitComponentUpdaterImplTest,updateComponent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,AssetRenditionsDataSourceTest,doGet_ServiceRanking,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,MetadataSchemaPropertiesImplTest,collectExtraMetadataProperties,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,MetadataSchemaPropertiesImplTest,removeMetadataProperties,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,MetadataSchemaPropertiesImplTest,collectMetadataProperty,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,MetadataSchemaPropertiesImplTest,collectMetadataProperty,Empty test,The tool detected the smell in this test method because the test is empty.
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,AssetModelImplTest,getUrl_WithSimplePath,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,AssetModelImplTest,getUrl_WithSimplePathResource,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,CombinedPropertiesTest,get_CacheMiss,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,CombinedPropertiesTest,get_CacheHit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,CombinedPropertiesTest,ComputedPropertyParameter_getParameters,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,ExternalRedirectRenditionDispatcherImplTest,getRenditionNames,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,ExternalRedirectRenditionDispatcherImplTest,dispatch_WithSpacesInPath,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,ExternalRedirectRenditionDispatcherImplTest,dispatch_WithHostAndSpacesInPath,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,AbstractRenditionDispatcherImplTest,parseMappingsAsStrings,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,AbstractRenditionDispatcherImplTest,getExtensionFromAscExtQueryParameter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,AbstractRenditionDispatcherImplTest,cleanURI,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,InternalRedirectRenditionDispatcherImplTest,getRenditionNames,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,InternalRedirectRenditionDispatcherImplTest,dispatch_WithSpacesInPath,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,InternalRedirectRenditionDispatcherImplTest,cleanPathInfoRequestPath,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,StaticRenditionDispatcherImplTest,getRenditionNames,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl,AssetRenditionDispatchersImplTest,getAssetRenditionDispatchers,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl,AssetRenditionDispatchersImplTest,isValidAssetRenditionName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl,AssetRenditionServletTest,doGet,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions,AssetRenditionParametersTest,getters_CstorRenditionName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
