Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NODE_NAME; PN_PLACEHOLDER_ASSET_PATH; PN_ASSET_REFERENCE_BY_ID; DEFAULT_PLACEHOLDER_ASSET_PATH
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,EmailServiceImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_CONNECT_TIMEOUT; DEFAULT_SOCKET_TIMEOUT
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ExpressionEvaluatorImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ZIP_EXTENSION
asset-share-commons,com.adobe.aem.commons.assetshare.util,EmailService,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SENDER_EMAIL_ADDRESS; SENDER_NAME; SUBJECT; REPLY_TO
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,ComputedPropertiesDataSource,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PN_COMPUTED_PROPERTY_TYPES
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,InternalRedirectRenditionDispatcherImplTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,AbstractRenditionDispatcherImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: QUERY_PARAM_SUGGESTED_EXTENSION
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,AssetDeliveryRenditionDispatcherImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ALLOWED_FORMATS; PN_PATH; PN_FORMAT; PN_SEONAME; DEFAULT_FORMAT
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl,AssetRenditionServlet,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SERVLET_EXTENSION
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions,AssetRenditionDispatcher,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: IMAGE; VIDEO
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions,AssetRenditionDispatcher.Types,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: IMAGE; VIDEO
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions,AssetRenditionParameters,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DOWNLOAD; CACHE_FILENAME
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions,AssetRendition,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: UNAVAILABLE_ASSET_RENDITION
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download.impl,AssetRenditionsZipperImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NAME; VAR_ASSET_NAME; VAR_ASSET_EXTENSION; VAR_RENDITION_NAME; VAR_RENDITION_EXTENSION; VAR_ASSET_FILE_NAME; VAR_ASSET_TITLE; ZIP_EXTENSION; DEFAULT_NO_CONTENT_FILE_NAME; DEFAULT_NO_CONTENT_MESSAGE
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,SmartTagTitlesImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME; PN_SMART_TAG_NAME; PN_SMART_TAG_CONFIDENCE; REL_PATH_SMART_TAGS_RESOURCE
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,FileSizeImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,HeightImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,FileExtensionImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,LicenseImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME
